manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes
rover-off-923500475-stage2-train-primary,prospective-ten,923500475,rover,Rover,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:off:923500475,0.0003,100,True,0.5,0.1,0,0,20,0,3,4g,6,48G,3-00:00:00,,,rover-off-923500475-stage1-train-primary,validation-best; never test-selected,planned,
rover-off-1972442430-stage2-train-primary,prospective-ten,1972442430,rover,Rover,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:off:1972442430,0.0003,100,True,0.5,0.1,0,0,20,0,3,4g,6,48G,3-00:00:00,,,rover-off-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-1963100312-stage2-train-primary,prospective-ten,1963100312,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:1963100312,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-2011206605-stage2-train-primary,prospective-ten,2011206605,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:2011206605,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-1073581256-stage2-train-primary,prospective-ten,1073581256,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:1073581256,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-1239739722-stage2-train-primary,prospective-ten,1239739722,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:1239739722,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-1239739722-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-1472491096-stage2-train-primary,prospective-ten,1472491096,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:1472491096,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-1472491096-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-534933607-stage2-train-primary,prospective-ten,534933607,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:534933607,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-534933607-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-2082152039-stage2-train-primary,prospective-ten,2082152039,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:2082152039,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-1510771779-stage2-train-primary,prospective-ten,1510771779,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:1510771779,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-923500475-stage2-train-primary,prospective-ten,923500475,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:923500475,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-923500475-stage1-train-primary,validation-best; never test-selected,planned,
rover-on-1972442430-stage2-train-primary,prospective-ten,1972442430,rover,Rover,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage1:rover:on:1972442430,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,rover-on-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-1963100312-stage2-train-primary,prospective-ten,1963100312,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:1963100312,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-2011206605-stage2-train-primary,prospective-ten,2011206605,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:2011206605,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-1073581256-stage2-train-primary,prospective-ten,1073581256,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:1073581256,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-1239739722-stage2-train-primary,prospective-ten,1239739722,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:1239739722,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-1239739722-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-1472491096-stage2-train-primary,prospective-ten,1472491096,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:1472491096,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-1472491096-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-534933607-stage2-train-primary,prospective-ten,534933607,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:534933607,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-534933607-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-2082152039-stage2-train-primary,prospective-ten,2082152039,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:2082152039,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-1510771779-stage2-train-primary,prospective-ten,1510771779,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:1510771779,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-923500475-stage2-train-primary,prospective-ten,923500475,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:923500475,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-923500475-stage1-train-primary,validation-best; never test-selected,planned,
counters-off-1972442430-stage2-train-primary,prospective-ten,1972442430,counters,Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:off:1972442430,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,counters-off-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-1963100312-stage2-train-primary,prospective-ten,1963100312,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:1963100312,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-2011206605-stage2-train-primary,prospective-ten,2011206605,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:2011206605,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-1073581256-stage2-train-primary,prospective-ten,1073581256,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:1073581256,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-1239739722-stage2-train-primary,prospective-ten,1239739722,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:1239739722,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-1239739722-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-1472491096-stage2-train-primary,prospective-ten,1472491096,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:1472491096,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-1472491096-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-534933607-stage2-train-primary,prospective-ten,534933607,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:534933607,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-534933607-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-2082152039-stage2-train-primary,prospective-ten,2082152039,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:2082152039,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-1510771779-stage2-train-primary,prospective-ten,1510771779,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:1510771779,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-923500475-stage2-train-primary,prospective-ten,923500475,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:923500475,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-923500475-stage1-train-primary,validation-best; never test-selected,planned,
counters-on-1972442430-stage2-train-primary,prospective-ten,1972442430,counters,Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,selected:stage1:counters:on:1972442430,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,counters-on-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
